,0
0,56
1,86
2,37
3,95
4,83
5,32
6,64
7,58
8,45
9,46
10,33
11,37
12,96
13,77
14,93
15,70
16,76
17,71
18,89
19,64
20,64
21,76
22,37
23,89
24,46
25,45
26,90
27,71
28,36
29,30
30,89
31,95
32,58
33,71
34,52
35,46
36,65
37,33
38,46
39,94
40,83
41,89
42,53
43,52
44,34
45,57
46,45
47,51
48,33
49,37
50,89
51,95
52,64
53,58
54,37
55,33
56,58
57,37
58,33
59,33
60,70
61,64
62,89
63,64
64,33
65,37
66,75
67,65
68,58
69,64
70,58
71,68
72,64
73,95
74,45
75,32
76,89
77,52
78,65
79,64
80,70
81,45
82,96
83,70
84,52
85,70
86,89
87,89
88,46
89,79
90,52
91,36
92,33
93,58
94,52
95,36
96,64
97,52
98,33
99,64
100,90
101,84
102,82
103,46
104,33
105,45
106,77
107,95
108,83
109,77
110,76
111,33
112,52
113,83
114,83
115,95
116,64
117,82
118,36
119,82
120,88
121,51
122,45
123,83
124,51
125,75
126,58
127,52
128,95
129,36
130,45
131,64
132,71
133,71
134,95
135,93
136,52
137,58
138,58
139,77
140,83
141,36
142,89
143,36
144,52
145,77
146,82
147,90
148,46
149,52
150,77
151,83
152,70
153,58
154,84
155,82
156,70
157,77
158,58
159,95
160,95
161,46
162,64
163,64
164,52
165,71
166,58
167,45
168,89
169,95
170,69
171,33
172,33
173,77
174,58
175,57
176,95
177,65
178,37
179,89
180,33
181,76
182,76
183,51
184,77
185,83
186,36
187,76
188,36
189,46
190,37
191,89
192,37
193,46
194,83
195,89
196,58
197,77
198,70
199,96
200,71
201,34
202,69
203,96
204,77
205,70
206,33
207,82
208,58
